resume_id,cluster_id,cluster_name,umap_x,umap_y
3f2dcf93,0,Problem Solving Specialists,-19.689758,-17.619867
67749193,5,Problem Solving Specialists,3.4024172,-9.976574
8d8ae744,2,React Specialists,14.451598,27.183985
949481a0,2,React Specialists,14.425882,27.207619
1b092a97,5,Problem Solving Specialists,3.2216756,-10.12004
833f0f04,2,React Specialists,14.081839,27.331448
27bfb17c,2,React Specialists,14.30784,27.24483
eeaadd01,0,Problem Solving Specialists,-19.208998,-17.715855
90b07c13,0,Problem Solving Specialists,-19.630608,-17.571465
e7bd033f,2,React Specialists,14.200382,27.47572
621a0029,0,Problem Solving Specialists,-19.246603,-17.786695
2314f841,2,React Specialists,14.326328,27.427273
6ee0e1be,2,React Specialists,14.05234,27.40814
44adb8ed,5,Problem Solving Specialists,3.1552022,-9.929571
875957ca,2,React Specialists,14.574059,27.086952
ea72d3b7,0,Problem Solving Specialists,-19.749493,-17.566414
95913906,2,React Specialists,14.460671,27.31884
f2db1ba9,5,Problem Solving Specialists,3.3733604,-9.935702
817685f7,5,Problem Solving Specialists,3.2479198,-10.03789
49012ed8,2,React Specialists,14.079204,27.51507
271923b8,0,Problem Solving Specialists,-19.765465,-17.788485
85864c39,2,React Specialists,14.117932,27.521948
8967b47f,2,React Specialists,14.297679,27.13633
fd7aaa0a,2,React Specialists,14.235966,27.310276
3d319f0b,2,React Specialists,14.112769,27.49105
0029808b,2,React Specialists,14.2297535,27.44035
31be14ab,2,React Specialists,14.53682,27.132874
96ec4fe8,5,Problem Solving Specialists,3.2363672,-9.798249
771b835b,2,React Specialists,13.967534,27.36526
ba580ee4,2,React Specialists,14.6066475,27.05612
ea805a4c,2,React Specialists,14.536016,27.296125
d0a38ba9,0,Problem Solving Specialists,-19.714056,-17.48015
d3fa5b3a,0,Problem Solving Specialists,-19.728722,-17.510979
34f7eda6,5,Problem Solving Specialists,3.2053325,-9.970544
a15cc447,2,React Specialists,14.498181,27.166357
5285b565,0,Problem Solving Specialists,-19.116875,-17.596611
ee628874,0,Problem Solving Specialists,-19.82461,-17.655329
6746802c,2,React Specialists,14.545938,27.129036
bfe93d53,0,Problem Solving Specialists,-19.82393,-17.41255
ebb0c0b3,0,Problem Solving Specialists,-19.767397,-17.53088
e4d6752c,4,Communication Specialists,0.28412896,8.704501
867b2480,4,Communication Specialists,0.0970717,8.894507
45a0a193,4,Communication Specialists,0.098779835,8.673632
f9491b97,4,Communication Specialists,0.39161903,8.718393
1f98d16b,4,Communication Specialists,0.4325315,8.640832
956b521b,4,Communication Specialists,0.3506768,8.636286
7c5f6ae8,4,Communication Specialists,-0.034999292,8.708589
